job_title,company_name,posted_date,num_applications,job_modality,f_p_time,job_responsibility,job_skills,job_keyword,city,community_or_nation,country,annual_salary,offer_id
Analista de Datos Industriales,RDT Ingenieros,2024-03-09,29,Presencial,Jornada completa,Intermedio,,Data Analyst,Derio,País Vasco,España,,77
"Business Data Analyst (Bangkok Based, relocation provided)",Agoda,2024-03-12,76,,,Intermedio,"Comunicación, Resolución de problemas y SQL, Capacidad de razonamiento, Ciencias de la computación, Estadística, Estrategia de fijación de precios, Marketing digital, Panel de control y Tecnología de publicación de anuncios",Data Analyst,Barcelona,Cataluña,España,,78
(Senior) DSP Campaign Manager / Data Analyst,RevX,2024-02-13,336,Híbrido,Jornada completa,Senior,"Analítica de datos y Análisis de datos, Compra programática de espacios publicitarios, Plataforma de demanda (DSP), Programmatic Advertising, Publicidad móvil, Puja en tiempo real y Remarketing",Data Analyst,Barcelona,Cataluña,España,,79
Sr. Business Analyst Customer Data Platform (CDP & salesforce),Novartis,2024-03-06,51,Presencial,Jornada completa,Senior,"Analítica de datos, Capacidad de análisis y Comunicación, Análisis de marketing, Ciencias de la computación, Desarrollo Salesforce.com, Necesidades empresariales, Negociación, Planes de desarrollo de productos y Salesforce Marketing Cloud",Data Analyst,Barcelona,Cataluña,España,,80
Basketball Statistician (Data Collection),Genius Sports,2024-03-06,41,Presencial,,,"Inglés, Adquisición de conocimientos, Baloncesto, Definición de requisitos, Deportes, Industry Training, Inglés hablado, Jugabilidad, Recogida de datos y Sports Venues",Data Scientist,Ciutadella de Menorca,Islas Baleares,España,,81
SENIOR DATA ANALYTICS CONSULTANT- Madrid,The Information Lab Spain,2023-11-13,174,Presencial,Jornada completa,Senior,,Data Analyst,Madrid,Comunidad de Madrid,España,,82
SAP Analytics Cloud Consultant,T4S Advance Solutions,2024-02-21,10,Híbrido,Jornada completa,Intermedio,"Inglés y Trabajo en equipo, ABAP, Estrategia empresarial, Inteligencia empresarial, Liderazgo de equipos, Microsoft SQL Server, Protocolo de Internet (IP), SAP BW y XML",Data Analyst,Madrid,,,,83
Package Consultant - SAP HANA Adv Analytics,IBM,2024-02-28,23,Híbrido,Jornada completa,,"Análisis predictivo, Competencias transversales, Contabilidad de gestión, Contabilidad exigida por ley, Elaboración de informes de datos, Productos SAP, SAP BW, SAP BusinessObjects, SAP HANA y SAP Lumira",Data Analyst,Barcelona,Cataluña,España,,84
Package Consultant - SAP HANA Adv Analytics,IBM,2024-02-28,25,Híbrido,Jornada completa,,"Análisis predictivo, Competencias transversales, Contabilidad de gestión, Contabilidad exigida por ley, Elaboración de informes de datos, Productos SAP, SAP BW, SAP BusinessObjects, SAP HANA y SAP Lumira",Data Analyst,Madrid,Comunidad de Madrid,España,,85
"Senior Data Analyst, Customer Payments (Relocation to Tallinn)",Bolt,2024-03-06,16,Híbrido,Jornada completa,Senior,,Data Analyst,Madrid,Comunidad de Madrid,España,,86
SAP Analytics Cloud Consultant,VASS,2024-03-11,16,Híbrido,Jornada completa,,"Comunicación, Inglés y Tableau, ABAP, Contabilidad exigida por ley, Planificación de negocios y sistemas de control, Productos SAP, SAP BW, SAP HANA y SAP Projects",Data Analyst,Madrid,Comunidad de Madrid,España,,87
Football Statistician (Data Collection),Genius Sports,2024-03-06,97,Presencial,,,"Inglés, Adquisición de conocimientos, Definición de requisitos, Deportes, Fútbol americano, Industry Training, Inglés hablado, Jugabilidad, Recogida de datos y Sports Venues",Data Scientist,Córdoba,Andalucía,España,,88
Data Analyst,agap2 España,2024-03-11,77,Híbrido,Jornada completa,Intermedio,"Capacidad de análisis, Python, Trabajo en equipo, Visualización y Visualización de datos, Análisis de requisitos, Estadística, Inteligencia empresarial, Matemáticas y Panel de control",Data Analyst,Sevilla,Andalucía,España,,89
Senior Business Analyst - Data Focus,Thoughtworks,2024-03-09,14,Presencial,Jornada completa,Senior,"Capacidad de análisis y Resolución de problemas, Asesor, Atención al detalle, Educción de requisitos, Necesidades empresariales, Obtención de requisitos, Planes de desarrollo de productos, Procesos de negocio y Professional Skills",Data Analyst,Madrid,Comunidad de Madrid,España,,90
